word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,5,5,,"""""",
a priori,.eiprai'ɒ:rai," Characterizing that kind of reasoning which deduces\n   consequences from definitions formed, or principles assumed, or which\n   infers effects from causes previously known; deductive or deductively.\n   The reverse of a posteriori.\n Applied to knowledge and conceptions assumed, or\n   presupposed, as prior to experience, in order to make experience\n   rational or possible.","由因及果的, 演绎的, 先验的\n[法] 公理的, 自明的",,,,,0,0,,,
a-,," A, as a prefix to English words, is derived from various sources.\n   (1) It frequently signifies on or in (from an, a forms of AS. on),\n   denoting a state, as in afoot, on foot, abed, amiss, asleep, aground,\n   aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2)\n   AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS.\n   a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and\n   sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old\n   English y- or i- (corrupted from the AS. inseparable particle ge-,\n   cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no\n   essential addition to the meaning, as in aware. (5) French a (L. ad\n   to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7)\n   Greek insep. prefix / without, or privative, not, as in abyss, atheist;\n   akin to E. un-.","pref. 不, 缺少, 无\n[医] 不, 无, 缺; 离",,,,,0,0,,,
a.,,,"[医] 调节, 适应, 安培, 阳极, 正极, 前, 水, 水剂, 动脉",,,,,0,0,,,
ab-,," A prefix in many words of Latin origin. It signifies from, away\n   , separating, or departure, as in abduct, abstract, abscond. See A-(6).","[医] 离, 从",,,,,0,0,,,
abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,
abate,ә'beit,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",,1,,toefl gre,13783,13243,d:abated/i:abating/p:abated/3:abates,,
abbreviated,,s. (of clothing) very short\ns. cut short in duration,"[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的\n[医] 减短的, 缩减的, 省略的",,,,,21124,18452,d:abbreviated/0:abbreviated/1:d,,
ABC,'eibi:'si:,n the elementary stages of any subject (usually plural),"预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识\n[计] 记帐预算计价系统, 通用插件板计算机, 美国广播公司, 自动编码系统",,2,,,12798,0,s:abcs,,
Abcs,,plural of ABC\nn the elementary stages of any subject (usually plural),"(ABC 的复数) 预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识\n[计] 记帐预算计价系统, 通用插件板计算机, 美国广播公司, 自动编码系统",,,,,0,0,0:abc/1:s,,
aberdeen,",æbә'di:n",n. a town in western Washington\nn. a town in northeastern South Dakota\nn. a town in northeastern Maryland,n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）,,,,,4626,0,,,
abetment,ә'betmәnt,n. the verbal act of urging on,"n. 唆使, 帮助, 煽动, 怂恿, 支持\n[法] 教唆, 唆使, 教唆犯罪",,,,,0,0,,,
abject,'æbdʒekt,s. of the most contemptible kind\ns. most unfortunate or miserable\ns. showing utter resignation or hopelessness\ns. showing humiliation or submissiveness,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的",,1,,toefl gre,18555,16479,,,
abjectly,,r. in a hopeless resigned manner,"adv. (境况)低贱, 凄惨, 很可怜, 可鄙, 不自爱, 卑鄙, 卑下",,,,,41732,40232,,,
able,'eibl,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body,"a. 能干的, 能够的",,5,1,zk gk,295,385,,,
aboard,ә'bɒ:d,"r. on a ship, train, plane or other vehicle\nr. on first or second or third base\nr. side by side\nr. part of a group","adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",,2,,gk cet4 ky toefl,7625,4984,,,
